,p_values
aircraft_family_PIPER PA-28 CHEROKEE,0.47748
city_YAKUTAT,0.484877
aircraft_family_PIPER PA-14 FAMILY CRUISER,0.488224
scheduled_SCHD,0.496699
event_month_11,0.496961
city_PORT ALSWORTH,0.508415
aircraft_family_DOUGLAS DC-3,0.508517
city_GUSTAVUS,0.513483
purpose_of_flight_FERY,0.525224
city_WASILLA,0.530627
city_CHITINA,0.542193
city_BARROW,0.553625
event_month_4,0.558375
city_NUIQSUT,0.559945
weather_condition_IMC,0.564196
aircraft_family_PIPER PA-31 NAVAJO,0.566533
event_month_12,0.579858
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION CITABRIA,0.586675
city_ILIAMNA,0.590531
longitude,0.594413
city_ANIAK,0.599004
city_MCCARTHY,0.60009
aircraft_family_STINSON 108,0.612825
aircraft_family_TAYLORCRAFT F-19 SPORTSMAN,0.617231
event_month_9,0.625593
city_GLENNALLEN,0.648986
event_month_8,0.655355
purpose_of_flight_AOBV,0.660613
event_month_5,0.661706
city_SLEETMUTE,0.697723
city_KENAI,0.712041
city_SEWARD,0.716927
purpose_of_flight_FLTS,0.723967
city_SOLDOTNA,0.72765
aircraft_family_DE HAVILLAND DHC-3 OTTER,0.734434
aircraft_family_CESSNA 177 CARDINAL,0.740936
aircraft_family_MAULE M-7,0.746383
city_SELDOVIA,0.752799
aircraft_family_LUSCOMBE 8,0.756591
aircraft_family_CESSNA 150,0.779639
city_PORT HEIDEN,0.788977
city_GULKANA,0.806017
city_NOME,0.814338
city_JUNEAU,0.821152
city_HOMER,0.824307
latitude,0.835128
aircraft_family_MAULE M-6,0.836127
city_KETCHIKAN,0.839901
city_TANANA,0.844231
city_PETERSBURG,0.845267
city_NONDALTON,0.846584
city_COLDFOOT,0.866617
purpose_of_flight_BUS,0.86897
city_CHUGIAK,0.877185
aircraft_family_BELL 206,0.895617
aircraft_family_CESSNA 175 SKYLARK,0.898553
city_HAINES,0.903857
event_month_10,0.911595
aircraft_family_CESSNA 208 CARAVAN,0.92277
city_WHITTIER,0.925108
city_COLD BAY,0.925529
city_KODIAK,0.951573
event_month_2,0.967
city_WILLOW,0.985025
city_GALENA,0.999428
aircraft_family_PIPER J-5 CUB CRUISER,0.999433
aircraft_family_ROBINSON HELICOPTER COMPANY R44 II,0.999555
purpose_of_flight_EXLD,0.999603
purpose_of_flight_AAPL,0.9998
purpose_of_flight_PUBL,0.999848
purpose_of_flight_SKYD,0.999854
